Date/Time,Status,City
2021-03-25T07:12:13.121,Fully Booked,AUSTIN
2021-03-25T07:12:13.121,Fully Booked,BEE CAVE
2021-03-25T07:12:13.121,Fully Booked,LAKEWAY
2021-03-25T07:12:13.121,Fully Booked,WACO
2021-03-25T07:12:13.121,Fully Booked,WESTLAKE
2021-03-30T14:57:44.457,Fully Booked,AUSTIN
2021-03-30T14:57:44.457,Fully Booked,BEE CAVE
2021-03-30T14:57:44.457,Fully Booked,LAKEWAY
2021-03-30T14:57:44.457,Fully Booked,WACO
2021-03-30T14:57:44.457,Fully Booked,WESTLAKE
2021-03-30T14:57:44.457,Fully Booked,ABILENE
2021-03-30T14:57:44.457,Fully Booked,ADDISON
2021-03-30T14:57:44.457,Available,ALICE
2021-03-30T14:57:44.457,Fully Booked,ALLEN
2021-03-30T14:57:44.457,Fully Booked,ALTON
2021-03-30T14:57:44.457,Fully Booked,ALVARADO
2021-03-30T14:57:44.457,Fully Booked,ALVIN
2021-03-30T14:57:44.457,Fully Booked,AMARILLO
2021-03-30T14:57:44.457,Fully Booked,ANGLETON
2021-03-30T14:57:44.457,Fully Booked,ARANSAS PASS
2021-03-30T14:57:44.457,Fully Booked,ARLINGTON
2021-03-30T14:57:44.457,Fully Booked,ATHENS
2021-03-30T14:57:44.457,Fully Booked,ATLANTA
2021-03-30T14:57:44.457,Fully Booked,AUSTIN
2021-03-30T14:57:44.457,Fully Booked,BALCH SPRINGS
2021-03-30T14:57:44.457,Fully Booked,BALCONES HEIGHTS
2021-03-30T14:57:44.457,Fully Booked,BANDERA
2021-03-30T14:57:44.457,Fully Booked,BASTROP
2021-03-30T14:57:44.457,Fully Booked,BAY CITY
2021-03-30T14:57:44.457,Fully Booked,BAYTOWN
2021-03-30T14:57:44.457,Fully Booked,BEAUMONT
2021-03-30T14:57:44.457,Fully Booked,BEDFORD
2021-03-30T14:57:44.457,Fully Booked,BEE CAVE
2021-03-30T14:57:44.457,Fully Booked,BEVERLY HILLS
2021-03-30T14:57:44.457,Fully Booked,BORGER
2021-03-30T14:57:44.457,Fully Booked,BOWIE
2021-03-30T14:57:44.457,Fully Booked,BRECKENRIDGE
2021-03-30T14:57:44.457,Fully Booked,BROWNSVILLE
2021-03-30T14:57:44.457,Available,BROWNWOOD
2021-03-30T14:57:44.457,Fully Booked,BRYAN
2021-03-30T14:57:44.457,Fully Booked,BURLESON
2021-03-30T14:57:44.457,Fully Booked,CAMERON
2021-03-30T14:57:44.457,Fully Booked,CANTON
2021-03-30T14:57:44.457,Fully Booked,CANYON LAKE
2021-03-30T14:57:44.457,Fully Booked,CARROLLTON
2021-03-30T14:57:44.457,Available,CARTHAGE
2021-03-30T14:57:44.457,Fully Booked,CASTLE HILLS
2021-03-30T14:57:44.457,Fully Booked,CEDAR HILL
2021-03-30T14:57:44.457,Fully Booked,CEDAR PARK
2021-03-30T14:57:44.457,Fully Booked,CELINA
2021-03-30T14:57:44.457,Fully Booked,CENTER
2021-03-30T14:57:44.457,Fully Booked,CHANNELVIEW
2021-03-30T14:57:44.457,Fully Booked,CIBOLO
2021-03-30T14:57:44.457,Fully Booked,CLEAR LAKE SHORES
2021-03-30T14:57:44.457,Fully Booked,CLEBURNE
2021-03-30T14:57:44.457,Fully Booked,CLEVELAND
2021-03-30T14:57:44.457,Fully Booked,COLLEGE STATION
2021-03-30T14:57:44.457,Fully Booked,COMMERCE
2021-03-30T14:57:44.457,Fully Booked,CONROE
2021-03-30T14:57:44.457,Fully Booked,CONVERSE
2021-03-30T14:57:44.457,Fully Booked,COPPELL
2021-03-30T14:57:44.457,Fully Booked,CORINTH
2021-03-30T14:57:44.457,Fully Booked,CORPUS CHRISTI
2021-03-30T14:57:44.457,Fully Booked,CORSICANA
2021-03-30T14:57:44.457,Fully Booked,CROSSROADS
2021-03-30T14:57:44.457,Fully Booked,CROWLEY
2021-03-30T14:57:44.457,Fully Booked,CYPRESS
2021-03-30T14:57:44.457,Fully Booked,DALLAS
2021-03-30T14:57:44.457,Fully Booked,DECATUR
2021-03-30T14:57:44.457,Fully Booked,DENISON
2021-03-30T14:57:44.457,Fully Booked,DENTON
2021-03-30T14:57:44.457,Fully Booked,DICKINSON
2021-03-30T14:57:44.457,Fully Booked,DONNA
2021-03-30T14:57:44.457,Fully Booked,DUNCANVILLE
2021-03-30T14:57:44.457,Fully Booked,EDINBURG
2021-03-30T14:57:44.457,Fully Booked,EL PASO
2021-03-30T14:57:44.457,Fully Booked,ELGIN
2021-03-30T14:57:44.457,Fully Booked,ELSA
2021-03-30T14:57:44.457,Fully Booked,ENNIS
2021-03-30T14:57:44.457,Fully Booked,EULESS
2021-03-30T14:57:44.457,Fully Booked,FAIR OAKS RANCH
2021-03-30T14:57:44.457,Fully Booked,FARMERS BRANCH
2021-03-30T14:57:44.457,Fully Booked,FLORESVILLE
2021-03-30T14:57:44.457,Fully Booked,FOREST HILL
2021-03-30T14:57:44.457,Fully Booked,FORNEY
2021-03-30T14:57:44.457,Fully Booked,FORT WORTH
2021-03-30T14:57:44.457,Fully Booked,FREEPORT
2021-03-30T14:57:44.457,Fully Booked,FRIENDSWOOD
2021-03-30T14:57:44.457,Fully Booked,FRISCO
2021-03-30T14:57:44.457,Fully Booked,GAINESVILLE
2021-03-30T14:57:44.457,Fully Booked,GALVESTON
2021-03-30T14:57:44.457,Fully Booked,GARLAND
2021-03-30T14:57:44.457,Fully Booked,GEORGETOWN
2021-03-30T14:57:44.457,Fully Booked,GLADEWATER
2021-03-30T14:57:44.457,Fully Booked,GRANBURY
2021-03-30T14:57:44.457,Fully Booked,GRAND PRAIRIE
2021-03-30T14:57:44.457,Fully Booked,GRAPEVINE
2021-03-30T14:57:44.457,Fully Booked,GREENVILLE
2021-03-30T14:57:44.457,Fully Booked,HARLINGEN
2021-03-30T14:57:44.457,Fully Booked,HASLET
2021-03-30T14:57:44.457,Fully Booked,HEATH
2021-03-30T14:57:44.457,Available,HENDERSON
2021-03-30T14:57:44.457,Fully Booked,HOUSTON
2021-03-30T14:57:44.457,Fully Booked,HUMBLE
